id,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
0,0,0,1,0,0,0,0,1,3,10,238500.0,33.73101432609841,10.185014065997247,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
1,0,0,1,0,0,0,0,1,3,9,157500.0,43.14941443013888,5.087031218984647,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,1
2,0,0,1,0,0,1,1,0,1,11,67500.0,64.8719686235857,0.0,Pensioner,Higher education,Single / not married,Municipal apartment,Other,0
3,1,0,1,0,0,0,0,0,1,1,148500.0,32.35932291559717,2.6338665407229445,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0
4,1,1,1,0,0,0,0,0,2,48,225000.0,36.8330629650164,11.1733984955201,Commercial associate,Higher education,Married,House / apartment,Laborers,0
5,0,0,0,0,0,0,1,0,2,35,112500.0,65.33741281477374,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
6,0,0,0,0,0,0,0,0,1,22,135000.0,31.5187854644517,12.89827990992286,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
7,0,0,1,0,0,0,0,1,3,8,247500.0,29.88699288828655,2.5216123534364154,Commercial associate,Incomplete higher,Married,House / apartment,Accountants,0
8,1,1,0,1,0,0,0,0,1,29,202500.0,26.83696448250135,6.349206349206349,Working,Secondary / secondary special,Single / not married,With parents,Laborers,0
9,0,1,1,0,0,0,0,0,2,23,391500.0,46.53072958376968,19.88815649876452,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
10,1,1,1,0,0,0,0,0,2,58,315000.0,44.75930375024812,12.427359904720836,Working,Secondary / secondary special,Married,House / apartment,Other,0
11,0,0,1,0,1,0,0,0,1,19,90000.0,54.18591757530955,8.684641026167546,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Other,0
12,1,0,0,0,0,0,0,0,1,6,166500.0,35.38197225131248,0.4654441911880463,Working,Incomplete higher,Single / not married,Municipal apartment,Cooking staff,0
13,1,0,0,1,0,0,0,0,2,33,180000.0,47.77100145793548,3.181447942120646,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
14,0,0,1,0,0,0,1,0,2,14,135000.0,63.93286652018864,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
15,1,1,0,0,0,0,0,0,2,60,225000.0,44.03102048638918,11.271963147771686,Working,Secondary / secondary special,Married,House / apartment,Managers,1
16,0,0,1,1,1,0,0,0,1,3,90000.0,27.35169099981519,2.5051849113944846,Commercial associate,Incomplete higher,Single / not married,House / apartment,Laborers,0
17,0,1,1,1,1,0,0,1,3,41,99000.0,37.268390179127564,16.676591579567,State servant,Secondary / secondary special,Married,With parents,Medicine staff,0
18,0,0,0,0,0,0,0,0,2,15,180000.0,45.43830468798127,1.1690862919840928,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0
19,1,0,1,0,0,0,0,0,2,41,225000.0,28.93967706386853,3.2170407332114963,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,1
20,1,0,0,0,0,0,0,1,3,38,225000.0,49.53695147744307,6.82560216842235,Working,Higher education,Married,House / apartment,Managers,0
21,0,0,1,0,0,0,1,0,2,38,112500.0,56.499448996214845,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
22,1,1,1,0,1,0,0,0,2,11,292500.0,26.793157970389537,7.006304030883591,Commercial associate,Secondary / secondary special,Single / not married,With parents,Laborers,1
23,0,1,1,0,0,0,0,0,2,41,225000.0,45.45199422301621,7.827676132980143,Working,Higher education,Married,House / apartment,Other,0
24,0,0,1,0,1,0,1,0,2,22,168750.0,60.7021362519422,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
25,1,1,0,1,1,0,0,1,3,14,202500.0,40.381390446073496,8.065874042588144,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
26,0,0,0,0,0,1,0,1,3,5,112500.0,35.13829852769051,3.3511981765539334,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
27,1,1,0,1,0,0,0,0,2,47,180000.0,38.56068228642614,7.381397290841017,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Drivers,0
